Category,Pattern,PE,CO,US,RE,SE,MA,PO,CE
Database Management,RDBMS (PostgreSQL),2,1,0,2,2,1,1,0
Database Management,NoSQL (MongoDB),2,1,1,1,0,2,1,1
Database Management,In-Memory (Redis),3,0,1,1,0,0,0,2
Messaging Architecture,REST API,1,2,1,1,1,2,2,0
Messaging Architecture,Message Queue (RabbitMQ),2,1,0,2,1,1,1,1
Messaging Architecture,gRPC,3,1,0,1,1,1,0,1
Deployment Strategy,Monolith,0,0,2,1,1,0,0,3
Deployment Strategy,Microservices,1,2,0,2,2,3,2,0
Deployment Strategy,Serverless,2,1,1,1,1,2,2,1
Caching Strategy,CDN,3,1,1,2,0,0,1,1
Caching Strategy,Application-Level Cache,2,0,1,1,0,1,1,2
Caching Strategy,Database Cache,1,0,0,2,0,1,0,2
Authentication,OAuth2,1,2,1,1,3,1,2,0
Authentication,JWT Stateless,2,1,1,1,2,1,1,1
Authentication,Session-Based,0,0,2,1,1,0,0,2
